p1,p2,p3,p4,p5,counts,norm_counts
3309829,,,,,40547,0.5633953507760285
1446874,3309829.0,,,,8359,0.11614723005738582
3076713,3309829.0,,,,773,0.010740735594492073
3491733,3309829.0,,,,718,0.00997651766732899
1602517,3309829.0,,,,429,0.005960899831872056
4751949,3309829.0,,,,334,0.004640887048590365
4926501,,,,,302,0.00419625116369548
2203304,1446874.0,3309829.0,,,229,0.003181925551279023
4879743,,,,,200,0.002778974280593033
1426091,3309829.0,,,,199,0.002765079409190068
1774978,3309829.0,,,,150,0.002084230710444775
3309828,,,,,144,0.002000861482026984
1570919,3309829.0,,,,124,0.0017229640539676806
2366992,,,,,122,0.0016951743111617503
4926933,1446874.0,3309829.0,,,116,0.0016118050827439593
3743618,3309829.0,,,,91,0.0012644332976698301
1429517,3309829.0,,,,83,0.0011532743264461088
4213676,3309829.0,,,,81,0.0011254845836401785
4916963,1446874.0,3309829.0,,,70,0.0009726409982075616
4662258,3309829.0,,,,68,0.0009448512554016313
302428,3309829.0,,,,63,0.0008753768983868055
3131342,3309829.0,,,,56,0.0007781127985660493
3784987,3309829.0,,,,56,0.0007781127985660493
4877348,3309829.0,,,,55,0.0007642179271630841
1446876,3309829.0,,,,53,0.0007364281843571538
955579,3309829.0,,,,52,0.0007225333129541886
3309827,,,,,48,0.000666953827342328
4732015,3309829.0,,,,45,0.0006252692131334325
4879578,1446874.0,3309829.0,,,40,0.0005557948561186066
4903123,3309829.0,,,,37,0.0005141102419097111
3681588,1446874.0,3309829.0,,,37,0.0005141102419097111
4017554,3309829.0,,,,35,0.0004863204991037808
4803319,3309829.0,,,,34,0.00047242562770081565
1729248,1446874.0,3309829.0,,,34,0.00047242562770081565
4650591,3309829.0,,,,32,0.0004446358848948853
4860421,3309829.0,,,,31,0.00043074101349192015
4906231,1446874.0,3309829.0,,,30,0.000416846142088955
4796108,,,,,30,0.000416846142088955
327194,3309829.0,,,,30,0.000416846142088955
607561,3309829.0,,,,30,0.000416846142088955
4772171,3309829.0,,,,29,0.0004029512706859898
1446874,3309828.0,,,,28,0.00038905639928302465
4801676,3309829.0,,,,27,0.0003751615278800595
3662804,3309829.0,,,,26,0.0003612666564770943
2697992,3309829.0,,,,26,0.0003612666564770943
4486373,3309829.0,,,,25,0.00034737178507412915
4627643,2203304.0,1446874.0,3309829.0,,23,0.0003195820422681988
4626692,3309829.0,,,,22,0.00030568717086523365
1446877,3309829.0,,,,22,0.00030568717086523365
491898,3309829.0,,,,22,0.00030568717086523365
4648363,3309829.0,,,,21,0.0002917922994622685
1149515,3309829.0,,,,20,0.0002778974280593033
4370973,3309829.0,,,,19,0.00026400255665633816
4928869,,,,,19,0.00026400255665633816
2943071,3309829.0,,,,19,0.00026400255665633816
4898545,3309829.0,,,,18,0.000250107685253373
4889059,3309829.0,,,,18,0.000250107685253373
4674026,3309829.0,,,,18,0.000250107685253373
4637819,3309829.0,,,,18,0.000250107685253373
4431936,3309829.0,,,,18,0.000250107685253373
1446874,,,,,17,0.00023621281385040782
1390671,3309829.0,,,,17,0.00023621281385040782
4807175,3309829.0,,,,17,0.00023621281385040782
2153011,3309829.0,,,,17,0.00023621281385040782
2702177,3309829.0,,,,17,0.00023621281385040782
347248,3309829.0,,,,16,0.00022231794244744266
1312387,3309829.0,,,,16,0.00022231794244744266
827319,1446874.0,3309829.0,,,16,0.00022231794244744266
4803429,,,,,16,0.00022231794244744266
1446875,3309829.0,,,,16,0.00022231794244744266
1789970,3309829.0,,,,15,0.0002084230710444775
1169730,,,,,15,0.0002084230710444775
3422710,3309829.0,,,,15,0.0002084230710444775
4220395,3309829.0,,,,15,0.0002084230710444775
2949456,3309829.0,,,,15,0.0002084230710444775
3091687,3309829.0,,,,14,0.00019452819964151232
4382279,3309829.0,,,,14,0.00019452819964151232
2559322,3309829.0,,,,14,0.00019452819964151232
4679643,3309829.0,,,,14,0.00019452819964151232
1393124,3309829.0,,,,13,0.00018063332823854716
1701438,3309829.0,,,,13,0.00018063332823854716
3897230,3491733.0,3309829.0,,,13,0.00018063332823854716
3177766,3309829.0,,,,12,0.000166738456835582
4722112,3309829.0,,,,12,0.000166738456835582
4932516,3309829.0,,,,12,0.000166738456835582
2162933,3309829.0,,,,12,0.000166738456835582
517412,3309829.0,,,,12,0.000166738456835582
4629858,3309829.0,,,,12,0.000166738456835582
2392133,3309829.0,,,,12,0.000166738456835582
1651355,3309829.0,,,,11,0.00015284358543261683
1780306,3309829.0,,,,11,0.00015284358543261683
3045216,1446874.0,3309829.0,,,11,0.00015284358543261683
2761753,3309829.0,,,,11,0.00015284358543261683
4676793,,,,,11,0.00015284358543261683
22626,3309829.0,,,,11,0.00015284358543261683
132267,,,,,10,0.00013894871402965166
4755872,,,,,10,0.00013894871402965166
4486098,3309829.0,,,,10,0.00013894871402965166
1755117,3309829.0,,,,10,0.00013894871402965166
1580983,3309829.0,,,,10,0.00013894871402965166
4114029,3309829.0,,,,10,0.00013894871402965166
4932681,3309829.0,,,,9,0.0001250538426266865
4373836,1446874.0,3309829.0,,,9,0.0001250538426266865
4568698,1446874.0,3309829.0,,,9,0.0001250538426266865
4792531,3309829.0,,,,9,0.0001250538426266865
4653112,3491733.0,3309829.0,,,9,0.0001250538426266865
3392223,3309829.0,,,,9,0.0001250538426266865
3940309,3309829.0,,,,9,0.0001250538426266865
2738763,3309829.0,,,,9,0.0001250538426266865
656002,3309829.0,,,,9,0.0001250538426266865
508150,1446874.0,3309829.0,,,9,0.0001250538426266865
2737930,1446874.0,3309829.0,,,9,0.0001250538426266865
4838295,,,,,8,0.00011115897122372133
3757220,3309829.0,,,,8,0.00011115897122372133
2987045,1774978.0,3309829.0,,,8,0.00011115897122372133
1014714,1446874.0,3309829.0,,,8,0.00011115897122372133
