p1,p2,p3,p4,p5,counts,norm_counts
1446874,3309829.0,,,,8108,0.2782143224788114
3309829,,,,,7342,0.2519301375973647
4808255,1446874.0,3309829.0,,,2164,0.07425453796795113
4915261,4808255.0,1446874.0,3309829.0,,612,0.02099989705932814
3209286,,,,,371,0.012730329753285523
3712065,1446874.0,3309829.0,,,354,0.012146999279415297
2853438,1446874.0,3309829.0,,,328,0.011254846789966716
4929981,1446874.0,3309829.0,,,299,0.010259753628658682
4755546,409205.0,4858950.0,1446874.0,3309829.0,277,0.009504855368356038
965642,1446874.0,3309829.0,,,257,0.00881858422262636
4687721,4902321.0,,,,256,0.008784270665339875
4704104,1446874.0,3309829.0,,,186,0.006382321655286003
3175516,3607105.0,3309829.0,,,169,0.005798991181415777
4936402,,,,,163,0.005593109837696874
4901463,1446874.0,3309829.0,,,101,0.0034656692859348728
4755546,409205.0,4858950.0,,,100,0.003431355728648389
4755546,409205.0,4858950.0,3309829.0,,89,0.003053906598497066
184560,4811823.0,2327105.0,3309829.0,,85,0.0029166523693511305
1446874,3309828.0,,,,76,0.0026078303537727756
4937241,4029663.0,4808255.0,1446874.0,3309829.0,74,0.002539203239199808
142381,1446874.0,3309829.0,,,72,0.00247057612462684
4755546,409205.0,4858950.0,1446874.0,,64,0.002196067666334969
520924,4808255.0,1446874.0,3309829.0,,55,0.001887245650756614
4652048,3175516.0,3607105.0,3309829.0,,51,0.0017499914216106784
4755546,409205.0,,,,51,0.0017499914216106784
4666479,3712065.0,1446874.0,3309829.0,,47,0.0016127371924647429
3309828,,,,,47,0.0016127371924647429
4507582,1446874.0,3309829.0,,,43,0.0014754829633188073
4915261,4808255.0,1446875.0,3309829.0,,41,0.0014068558487458395
1446875,3309829.0,,,,40,0.0013725422914593556
1784136,4666479.0,3712065.0,1446874.0,3309829.0,37,0.001269601619599904
644697,4929981.0,1446874.0,3309829.0,,36,0.00123528806231342
4483440,4915261.0,4808255.0,1446874.0,3309829.0,35,0.0012009745050269361
2327105,3309829.0,,,,34,0.0011666609477404522
4755546,409205.0,4858950.0,1446875.0,3309829.0,33,0.0011323473904539683
2040553,1446874.0,3309829.0,,,32,0.0010980338331674844
4862730,4915261.0,4808255.0,1446874.0,3309829.0,32,0.0010980338331674844
2802823,,,,,31,0.0010637202758810005
4661627,4672951.0,,,,31,0.0010637202758810005
4864557,1723607.0,4704104.0,1446874.0,3309829.0,27,0.0009264660467350651
4808255,1446875.0,3309829.0,,,27,0.0009264660467350651
4755546,409205.0,4858950.0,3309826.0,,26,0.0008921524894485812
1624778,1446874.0,3309829.0,,,21,0.0007205847030161617
2621924,1446874.0,3309829.0,,,21,0.0007205847030161617
1031515,4808255.0,1446874.0,3309829.0,,21,0.0007205847030161617
1446876,3309829.0,,,,20,0.0006862711457296778
492570,4755546.0,409205.0,,,19,0.0006519575884431939
1587789,,,,,19,0.0006519575884431939
4755872,,,,,19,0.0006519575884431939
4755546,409205.0,4858950.0,1446874.0,3309826.0,19,0.0006519575884431939
492570,4755546.0,409205.0,4858950.0,1446874.0,18,0.00061764403115671
163128,,,,,18,0.00061764403115671
4637517,4808255.0,1446874.0,3309829.0,,17,0.0005833304738702261
1622484,2853438.0,1446874.0,3309829.0,,17,0.0005833304738702261
4937241,4029663.0,4808255.0,1446874.0,,17,0.0005833304738702261
3844667,3712065.0,1446874.0,3309829.0,,16,0.0005490169165837422
2665916,1624778.0,1446874.0,3309829.0,,16,0.0005490169165837422
4485254,4790788.0,2327105.0,3309829.0,,15,0.0005147033592972583
524308,894193.0,3209286.0,,,15,0.0005147033592972583
1776433,4808255.0,1446874.0,3309829.0,,15,0.0005147033592972583
4915261,4808256.0,1446874.0,3309829.0,,15,0.0005147033592972583
4941168,524308.0,894193.0,3209286.0,,14,0.0004803898020107745
4937241,4029663.0,4808255.0,1446875.0,3309829.0,14,0.0004803898020107745
4808255,1446874.0,3309828.0,,,14,0.0004803898020107745
4755546,409205.0,4858950.0,1446877.0,3309829.0,14,0.0004803898020107745
4479613,3209286.0,,,,13,0.0004460762447242906
4755546,409206.0,,,,13,0.0004460762447242906
4937241,4029663.0,4808255.0,3309829.0,,13,0.0004460762447242906
742299,4755546.0,409205.0,4858950.0,1446874.0,12,0.0004117626874378067
2886485,4929981.0,1446874.0,3309829.0,,12,0.0004117626874378067
3778671,1376119.0,4507582.0,1446874.0,3309829.0,12,0.0004117626874378067
492570,4755546.0,409205.0,4858948.0,1446874.0,12,0.0004117626874378067
4811698,4915261.0,4808255.0,1446874.0,3309829.0,12,0.0004117626874378067
4937241,4029663.0,4808255.0,,,11,0.0003774491301513228
4755546,409205.0,3309829.0,,,11,0.0003774491301513228
1792616,,,,,11,0.0003774491301513228
4942582,,,,,11,0.0003774491301513228
4808842,4808255.0,1446874.0,3309829.0,,11,0.0003774491301513228
4726709,1446874.0,3309829.0,,,11,0.0003774491301513228
4656279,4233477.0,4808255.0,1446874.0,3309829.0,10,0.0003431355728648389
4915261,4808255.0,1446877.0,3309829.0,,10,0.0003431355728648389
1194369,4659075.0,4860620.0,4808255.0,1446874.0,10,0.0003431355728648389
648965,3309829.0,,,,10,0.0003431355728648389
4646538,,,,,10,0.0003431355728648389
4790788,2327105.0,3309829.0,,,10,0.0003431355728648389
4864179,4018489.0,4101308.0,1066749.0,2853438.0,10,0.0003431355728648389
1784136,4666479.0,3712065.0,1446875.0,3309829.0,10,0.0003431355728648389
2766145,4755546.0,409205.0,4858950.0,1446874.0,10,0.0003431355728648389
2766145,4755546.0,409205.0,,,10,0.0003431355728648389
4670082,448390.0,2853438.0,1446874.0,3309829.0,10,0.0003431355728648389
4791493,742299.0,4755546.0,409205.0,4858950.0,10,0.0003431355728648389
282954,1446874.0,3309829.0,,,9,0.000308822015578355
3175516,3607104.0,3309829.0,,,9,0.000308822015578355
4755546,409205.0,4858950.0,3309828.0,,9,0.000308822015578355
4755546,409205.0,4858950.0,1446874.0,3309827.0,9,0.000308822015578355
4808255,1446874.0,,,,9,0.000308822015578355
4755546,409206.0,4858950.0,1446874.0,3309829.0,9,0.000308822015578355
1564236,4808255.0,1446874.0,3309829.0,,9,0.000308822015578355
297990,4642232.0,,,,9,0.000308822015578355
4795184,4915261.0,4808255.0,1446874.0,3309829.0,9,0.000308822015578355
4904102,1446874.0,3309829.0,,,9,0.000308822015578355
4791493,742299.0,4755546.0,409205.0,,9,0.000308822015578355
492570,4755546.0,,,,8,0.0002745084582918711
4915261,4808255.0,3309829.0,,,8,0.0002745084582918711
1784136,4666479.0,3712064.0,1446874.0,3309829.0,8,0.0002745084582918711
4755546,409205.0,3309826.0,,,8,0.0002745084582918711
3235564,1446874.0,3309829.0,,,8,0.0002745084582918711
4879375,4704104.0,1446874.0,4577072.0,3309829.0,8,0.0002745084582918711
4791493,742299.0,,,,8,0.0002745084582918711
4728701,,,,,8,0.0002745084582918711
2986365,,,,,8,0.0002745084582918711
2659015,4808255.0,1446874.0,3309829.0,,8,0.0002745084582918711
4808256,1446874.0,3309829.0,,,8,0.0002745084582918711
4668425,,,,,8,0.0002745084582918711
2853438,1446875.0,3309829.0,,,8,0.0002745084582918711
4943348,,,,,8,0.0002745084582918711
4018489,4101308.0,1066749.0,2853438.0,1446874.0,8,0.0002745084582918711
4937241,4029663.0,4808256.0,,,7,0.00024019490100538724
3712065,1446875.0,3309829.0,,,7,0.00024019490100538724
3052742,1446874.0,3309829.0,,,7,0.00024019490100538724
4791493,742299.0,4755546.0,,,7,0.00024019490100538724
4755546,409205.0,4858950.0,3309827.0,,7,0.00024019490100538724
4937241,4029663.0,,,,7,0.00024019490100538724
4864557,1723607.0,4704104.0,1446874.0,,7,0.00024019490100538724
4755546,409205.0,4858948.0,,,7,0.00024019490100538724
3778671,1376119.0,4507584.0,1446874.0,3309829.0,7,0.00024019490100538724
3883836,4936402.0,,,,7,0.00024019490100538724
4507583,1446874.0,3309829.0,,,7,0.00024019490100538724
4634119,4808842.0,4808255.0,1446874.0,3309829.0,7,0.00024019490100538724
4704104,1446874.0,4577072.0,3309829.0,,7,0.00024019490100538724
4635266,1446874.0,3309829.0,,,7,0.00024019490100538724
520924,4808255.0,1446875.0,3309829.0,,7,0.00024019490100538724
4918563,2040553.0,1446874.0,3309829.0,,7,0.00024019490100538724
425794,,,,,7,0.00024019490100538724
3715080,4866751.0,3801667.0,,,7,0.00024019490100538724
1647956,,,,,7,0.00024019490100538724
2195003,,,,,7,0.00024019490100538724
2433045,1446874.0,3309829.0,,,7,0.00024019490100538724
1723607,4704104.0,1446874.0,3309829.0,,7,0.00024019490100538724
4101308,1066749.0,2853438.0,1446874.0,3309829.0,7,0.00024019490100538724
4660475,4642666.0,1791893.0,4625216.0,1446874.0,7,0.00024019490100538724
4139704,2853438.0,1446874.0,3309829.0,,7,0.00024019490100538724
4929981,1446875.0,3309829.0,,,7,0.00024019490100538724
4755546,409206.0,4858950.0,,,7,0.00024019490100538724
4755546,409206.0,4858950.0,3309829.0,,6,0.00020588134371890335
2058873,4459725.0,4808842.0,4808255.0,1446874.0,6,0.00020588134371890335
4937241,4029663.0,4808256.0,1446874.0,,6,0.00020588134371890335
4755546,409205.0,4858949.0,,,6,0.00020588134371890335
1835967,1446874.0,3309829.0,,,6,0.00020588134371890335
2613182,2040553.0,1446874.0,3309829.0,,6,0.00020588134371890335
492570,4755546.0,409205.0,4858948.0,,6,0.00020588134371890335
4755546,409205.0,1446874.0,,,6,0.00020588134371890335
742299,4755546.0,409205.0,4858950.0,,6,0.00020588134371890335
1753750,,,,,6,0.00020588134371890335
3067536,4900789.0,1446874.0,3309829.0,,6,0.00020588134371890335
2439108,,,,,6,0.00020588134371890335
3550580,184560.0,4811823.0,2327105.0,3309829.0,6,0.00020588134371890335
2853437,1446874.0,3309829.0,,,6,0.00020588134371890335
3876533,4907783.0,4808255.0,1446874.0,3309829.0,6,0.00020588134371890335
4801381,4864557.0,1723607.0,4704104.0,1446874.0,6,0.00020588134371890335
4483440,4915261.0,4808255.0,1446874.0,,6,0.00020588134371890335
4755546,409205.0,4858950.0,1446874.0,3309828.0,6,0.00020588134371890335
3302390,1446874.0,3309829.0,,,6,0.00020588134371890335
4811823,2327105.0,3309829.0,,,6,0.00020588134371890335
742299,4755546.0,409205.0,4858948.0,1446874.0,6,0.00020588134371890335
4755546,409205.0,4858950.0,1446875.0,,6,0.00020588134371890335
4483440,4915261.0,4808255.0,1446875.0,3309829.0,5,0.00017156778643241945
4926933,1446874.0,3309829.0,,,5,0.00017156778643241945
4915261,1446874.0,3309829.0,,,5,0.00017156778643241945
3728493,,,,,5,0.00017156778643241945
4915261,4808255.0,1446874.0,,,5,0.00017156778643241945
492570,4755546.0,409205.0,1446878.0,,5,0.00017156778643241945
1892494,3309829.0,,,,5,0.00017156778643241945
4938128,4755546.0,409205.0,4858950.0,,5,0.00017156778643241945
4808255,3309829.0,,,,5,0.00017156778643241945
520924,4808256.0,1446874.0,3309829.0,,5,0.00017156778643241945
742299,4755546.0,409205.0,1446874.0,,5,0.00017156778643241945
4755546,409205.0,4858950.0,1446881.0,3309829.0,5,0.00017156778643241945
492570,4755546.0,409205.0,4858950.0,1446876.0,5,0.00017156778643241945
2766145,4755546.0,409205.0,1446874.0,,5,0.00017156778643241945
4811698,4915261.0,4808255.0,3309829.0,,5,0.00017156778643241945
1551366,4635437.0,2853438.0,1446874.0,3309829.0,5,0.00017156778643241945
4862730,4915261.0,4808255.0,1446875.0,3309829.0,5,0.00017156778643241945
4755546,409205.0,4858950.0,3309825.0,,5,0.00017156778643241945
4937241,4029663.0,4808255.0,1446877.0,3309829.0,5,0.00017156778643241945
1129185,,,,,5,0.00017156778643241945
1784136,4666479.0,3712065.0,3309829.0,,5,0.00017156778643241945
1446874,,,,,5,0.00017156778643241945
4839063,4705596.0,2535214.0,4808255.0,1446874.0,5,0.00017156778643241945
4864557,1723607.0,4704104.0,3309829.0,,5,0.00017156778643241945
